State,City,City_Count
CA,Tustin,2405
CA,Carson,2382
OR,Salem,2367
CA,Richmond,2363
WA,Renton,2360
FL,Pompano Beach,2352
NY,Syracuse,2337
CA,Burbank,2332
IL,Lombard,2331
CA,Salinas,2326
CA,Modesto,2304
CA,Walnut Creek,2300
UT,West Valley City,2290
CA,Petaluma,2279
CA,Torrance,2277
IA,Des Moines,2267
CA,Glendale,2265
CA,Santa Fe Springs,2249
CT,Hartford,2243
NC,Greensboro,2243
MA,Boston,2208
SC,Simpsonville,2192
TX,Mesquite,2180
GA,Marietta,2164
SC,North Charleston,2162
TX,Grand Prairie,2159
SC,Piedmont,2157
TX,Pflugerville,2152
SC,Conway,2151
CA,Hawthorne,2150
CA,Costa Mesa,2130
TN,Knoxville,2109
CA,Glendora,2107
WA,Spokane,2084
VA,Arlington,2068
OR,Eugene,2064
CA,Pacoima,2055
IL,Elmhurst,2024
VA,Springfield,2019
NC,Apex,2010
CA,Van Nuys,2007
CA,Lynwood,2003
DE,Wilmington,2001
OH,Akron,1993
IL,Downers Grove,1986
KS,Kansas City,1978
NC,Morrisville,1966
MI,Burton,1965
MD,Silver Spring,1963
CA,Moreno Valley,1959
SC,Orangeburg,1951
CA,Garden Grove,1947
CA,Temecula,1942
TX,Manor,1941
TN,Johnson City,1931
NV,Las Vegas,1927
CA,Emeryville,1925
CA,Sun Valley,1899
CA,Mountain View,1894
NY,Yonkers,1890
CA,Azusa,1887
CA,Pittsburg,1884
CA,Mira Loma,1878
MI,Southfield,1866
VA,Sterling,1864
CA,Rancho Cucamonga,1863
IL,Wheaton,1859
FL,Boca Raton,1857
MI,Davison,1853
WA,Everett,1830
CA,Palo Alto,1827
CA,Napa,1824
SC,Aiken,1811
FL,Tallahassee,1791
FL,Spring Hill,1780
CA,El Monte,1770
FL,Ocala,1767
CA,Martinez,1762
NY,Flushing,1750
OR,Bend,1742
VA,Virginia Beach,1740
State,City,City_Count
CA,Sunnyvale,1739
CA,San Rafael,1727
IL,Oak Brook,1724
CA,San Dimas,1711
CA,Roseville,1710
CA,Chino,1688
CA,Alhambra,1680
